# candidate-c-expressive  (CANDIDATE)  ok=True  input_hash=b5e62e028117d593
  note: CANDIDATE.  Not a finished/selected theme; no winner is ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.67deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 391 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
operator         ink     apca_centre   #c3c3c3  0.816  0.000    69  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c6c2bd  0.815  0.009    69  0.0087 0.0087 0.0087 0.0000 0.0000 1.00
property         ink     apca_centre   #bcc4c5  0.814  0.009   215  0.0086 0.0086 0.0086 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #999999  0.681  0.000    69  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #352a12  0.290  0.041    85  0.0412 0.0412 0.0412 0.0000 0.0000 1.00
search_match_current surface perceptual_step #3e2f0a  0.315  0.056    86  0.0558 0.0558 0.0558 0.0000 0.0000 1.00
selection        surface perceptual_step #242d30  0.290  0.013   216  0.0131 0.0131 0.0131 0.0000 0.0000 1.00
string           ink     apca_centre   #acce6b  0.804  0.131   125  0.1314 0.1314 0.1314 0.0000 0.0000 1.00
success          ink     apca_centre   #aacf64  0.804  0.140   125  0.1404 0.1404 0.1404 0.0000 0.0000 1.00
tag              ink     apca_centre   #d0bcd3  0.818  0.039   322  0.0387 0.0387 0.0387 0.0000 0.0000 1.00
type             ink     apca_centre   #72d3c0  0.801  0.096   180  0.0959 0.0959 0.0959 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6d6d6d  0.533  0.000    69  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     apca_centre   #fad685  0.889  0.107    86  0.1074 0.1074 0.1074 0.0000 0.0000 1.00

## variant night
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
