# candidate-a-restrained  (CANDIDATE)  ok=True  input_hash=d449bd0427b7a85a
  note: CANDIDATE.  No palette derived from this file is a finished/selected theme; Phase 5 produces candidates, Phase 7 (human evaluation) decides.  No winner is selected or ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.6deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 459 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
operator         ink     apca_centre   #c3c3c3  0.816  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c4c2bf  0.814  0.004    70  0.0038 0.0038 0.0038 0.0000 0.0000 1.00
property         ink     apca_centre   #c4c2bf  0.814  0.004    70  0.0038 0.0038 0.0038 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #999999  0.681  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #2f2b23  0.290  0.014    82  0.0144 0.0144 0.0144 0.0000 0.0000 1.00
search_match_current surface perceptual_step #393020  0.315  0.030    82  0.0305 0.0305 0.0305 0.0000 0.0000 1.00
selection        surface perceptual_step #282c2f  0.290  0.008   242  0.0076 0.0076 0.0076 0.0000 0.0000 1.00
string           ink     apca_centre   #b9c8a7  0.812  0.047   126  0.0472 0.0472 0.0472 0.0000 0.0000 1.00
success          ink     apca_centre   #b8c8a5  0.810  0.050   127  0.0503 0.0503 0.0503 0.0000 0.0000 1.00
tag              ink     apca_centre   #c4c2bf  0.814  0.004    70  0.0040 0.0040 0.0040 0.0000 0.0000 1.00
type             ink     apca_centre   #abc8c5  0.810  0.032   188  0.0323 0.0323 0.0323 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6d6d6d  0.533  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     apca_centre   #ecd7b4  0.888  0.052    82  0.0524 0.0524 0.0524 0.0000 0.0000 1.00

## variant night
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #1e1e1e  0.235  0.001    70  0.0009 0.0009 0.0009 0.0000 0.0000 1.00
bg               canvas  authored      #191714  0.205  0.007    70  0.0070 0.0070 0.0070 0.0000 0.0000 1.00
bg_elevated      surface authored      #211e1b  0.238  0.008    70  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_overlay       surface authored      #282521  0.265  0.009    70  0.0090 0.0090 0.0090 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #ead4d2  0.887  0.025    22  0.0254 0.0254 0.0254 0.0000 0.0000 1.00
builtin          ink     apca_centre   #c7bfbf  0.811  0.009    23  0.0086 0.0086 0.0086 0.0000 0.0000 1.00
comment          ink     apca_centre   #989795  0.675  0.003    70  0.0027 0.0027 0.0027 0.0000 0.0000 1.00
constant         ink     apca_centre   #cbc0ad  0.811  0.029    80  0.0292 0.0292 0.0292 0.0000 0.0000 1.00
debug_current    surface perceptual_step #27241e  0.260  0.011    81  0.0114 0.0114 0.0114 0.0000 0.0000 1.00
decorator        ink     apca_centre   #c2c1be  0.810  0.003    80  0.0034 0.0034 0.0034 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #979797  0.675  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #1d1f1c  0.235  0.006   126  0.0056 0.0056 0.0056 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #1f1e1c  0.235  0.005    81  0.0046 0.0046 0.0046 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #221c1c  0.235  0.009    23  0.0089 0.0089 0.0089 0.0000 0.0000 1.00
docstring        ink     apca_centre   #c2c1bf  0.810  0.003    70  0.0028 0.0028 0.0028 0.0000 0.0000 1.00
error            ink     night_ceiling #e9d1cf  0.880  0.028    22  0.0275 0.0275 0.0275 0.0000 0.0000 1.00
fg               ink     apca_centre   #c2c1bf  0.810  0.003    70  0.0028 0.0028 0.0028 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #6c6b69  0.527  0.002    70  0.0021 0.0021 0.0021 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #989795  0.675  0.003    70  0.0027 0.0027 0.0027 0.0000 0.0000 1.00
focus            border  apca_centre   #d1dae0  0.882  0.014   241  0.0136 0.0136 0.0136 0.0000 0.0000 1.00
function         ink     night_ceiling #d0d9df  0.880  0.012   238  0.0122 0.0122 0.0122 0.0000 0.0000 1.00
info             ink     apca_centre   #b5c3cd  0.808  0.021   239  0.0212 0.0212 0.0212 0.0000 0.0000 1.00
keyword          ink     apca_centre   #c6becd  0.812  0.022   308  0.0220 0.0220 0.0220 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6b6b6b  0.526  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c1c1c1  0.809  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
