# calibration-experiment  (NON-CANDIDATE)  ok=True  input_hash=364f6f20e42cae29
  note: NON-CANDIDATE. Systematic-transform calibration only. Comparison target is themes/experiments/handtuned-*.yaml (also NON-CANDIDATE). No palette here is final; see DESIGN.md section 1 and section 9 ("Phase 4 will test whether this works").
  stability: ok=True  max_hue_drift=5.85deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 430 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #201d1e  0.235  0.004     1  0.0035 0.0035 0.0035 0.0000 0.0000 1.00
bg               canvas  authored      #191714  0.205  0.007    70  0.0070 0.0070 0.0070 0.0000 0.0000 1.00
bg_elevated      surface authored      #211e1b  0.238  0.008    70  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_overlay       surface authored      #282521  0.265  0.009    70  0.0090 0.0090 0.0090 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #f1d2ce  0.887  0.035    25  0.0353 0.0353 0.0353 0.0000 0.0000 1.00
builtin          ink     apca_centre   #cbbebc  0.811  0.016    26  0.0157 0.0157 0.0157 0.0000 0.0000 1.00
comment          ink     apca_centre   #a38a91  0.659  0.031     1  0.0309 0.0309 0.0309 0.0000 0.0000 1.00
constant         ink     apca_centre   #d4be9d  0.810  0.051    78  0.0508 0.0508 0.0508 0.0000 0.0000 1.00
debug_current    surface perceptual_step #292319  0.260  0.020    79  0.0199 0.0199 0.0199 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cac0b0  0.811  0.025    78  0.0248 0.0248 0.0248 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #979797  0.675  0.000     1  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #1a201a  0.235  0.014   142  0.0137 0.0137 0.0137 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #201e1a  0.235  0.008    79  0.0084 0.0084 0.0084 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #251b1a  0.235  0.017    26  0.0165 0.0165 0.0165 0.0000 0.0000 1.00
